ID,Station,Line Name,Division,Latitude,Longitude
1,1 AV,L,BMT,40.730953,-73.981628
3,103 ST,1,IRT,40.799446,-73.968379
4,103 ST,6,IRT,40.7906,-73.947478
5,103 ST,BC,IND,40.796092,-73.961454
6,110 ST,6,IRT,40.79502,-73.94425
7,110 ST-CPN,23,IRT,40.799075,-73.95182199999999
8,116 ST,23,IRT,40.802098,-73.949625
9,116 ST,6,IRT,40.798629,-73.94161700000001
10,116 ST,BC,IND,40.805085,-73.954882
11,116 ST-COLUMBIA,1,IRT,40.807722,-73.96410999999999
12,125 ST,ACBD,IND,40.811109,-73.952343
13,125 ST,456,IRT,40.804138,-73.93759399999999
14,125 ST,1,IRT,40.815581,-73.958372
15,125 ST,23,IRT,40.807753999999996,-73.945495
16,135 ST,23,IRT,40.814229,-73.94077
17,135 ST,BC,IND,40.817894,-73.947649
18,137 ST CITY COL,1,IRT,40.822008000000004,-73.953676
20,14 ST,ACEL,IND,40.740893,-74.00169
21,14 ST,123FLM,IRT,40.738228,-73.996209
24,14 ST-UNION SQ,456LNQR,IRT,40.734673,-73.989951
26,145 ST,1,IRT,40.826551,-73.95036
27,145 ST,3,IRT,40.820421,-73.936245
28,145 ST,ABCD,IND,40.824783000000004,-73.944216
29,155 ST,C,IND,40.830518,-73.941514
30,155 ST,BD,IND,40.830135,-73.938209
31,157 ST,1,IRT,40.834041,-73.94489
32,163 ST-AMSTERDM,C,IND,40.836013,-73.939892
33,168 ST,AC1,IND,40.840719,-73.939561
35,168 ST-BROADWAY,AC1,IND,40.840719,-73.939561
37,175 ST,A,IND,40.847390999999995,-73.939704
38,18 ST,1,IRT,40.741040000000005,-73.99787099999999
39,181 ST,A,IND,40.851695,-73.937969
40,181 ST,1,IRT,40.849505,-73.933596
41,190 ST,A,IND,40.859021999999996,-73.93418
42,191 ST,1,IRT,40.855225,-73.929412
43,2 AV,F,IND,40.723402,-73.989938
45,207 ST,1,IRT,40.864614,-73.918819
46,215 ST,1,IRT,40.869444,-73.915279
47,23 ST,6,IRT,40.739864000000004,-73.986599
48,23 ST,CE,IND,40.745906,-73.998041
49,23 ST,1,IRT,40.744081,-73.995657
50,23 ST,NR,BMT,40.741303,-73.98934399999999
51,23 ST,FM,IND,40.742878000000005,-73.99282099999999
52,28 ST,1,IRT,40.747215000000004,-73.993365
53,28 ST,6,IRT,40.74307,-73.984264
54,28 ST,NR,BMT,40.745494,-73.988691
56,3 AV,L,BMT,40.732849,-73.986122
57,33 ST,6,IRT,40.746081,-73.982076
58,34 ST-HERALD SQ,BDFMNQR,IND,40.749567,-73.98795
60,34 ST-HUDSON YD,7,IRT,40.755882,-74.00191
61,34 ST-PENN STA,ACE,IND,40.752287,-73.993391
62,34 ST-PENN STA,123,IRT,40.750372999999996,-73.991057
64,42 ST-BRYANT PK,BDFM7,IND,40.754222,-73.984569
65,42 ST-GRD CNTRL,4567S,IRT,40.751431,-73.97604100000001
66,42 ST-PA BUS TE,ACENGRS1237,IND,40.757308,-73.989735
67,42 ST-TIMES SQ,1237ACENQRS,IRT,40.755983,-73.98622900000001
72,47-50 ST-ROCK,BDFM,IND,40.758663,-73.981329
74,49 ST,NQR,BMT,40.759901,-73.984139
75,5 AV/53 ST,EM,IND,40.760166999999996,-73.975224
76,5 AV/59 ST,NQR,BMT,40.762526,-73.967967
77,5 AVE,7BDFM,IRT,40.753821,-73.98196300000001
81,50 ST,1,IRT,40.761728000000005,-73.98384899999999
83,50 ST,CE,IND,40.762456,-73.985984
84,51 ST,6,IRT,40.757107,-73.97192
85,57 ST,F,IND,40.763971999999995,-73.97745
86,57 ST-7 AV,NQR,BMT,40.764664,-73.98065799999999
88,59 ST,456NQR,IRT,40.762526,-73.967967
91,59 ST COLUMBUS,ABCD1,IND,40.768246999999995,-73.98192900000001
95,6 AV,FLM123,BMT,40.737334999999995,-73.996786
96,66 ST-LINCOLN,1,IRT,40.77344,-73.982209
97,68ST-HUNTER CO,6,IRT,40.768141,-73.96387
100,7 AV,BDE,IND,40.762862,-73.981637
105,72 ST,123,IRT,40.778453000000006,-73.98196999999999
106,72 ST,BC,IND,40.775594,-73.97641
107,77 ST,6,IRT,40.77362,-73.959874
109,79 ST,1,IRT,40.783934,-73.979917
112,8 AV,ACEL,BMT,40.739777000000004,-74.002578
115,8 ST-B'WAY NYU,NR,BMT,40.730328,-73.99262900000001
117,81 ST-MUSEUM,BC,IND,40.781433,-73.972143
118,86 ST,1,IRT,40.788644,-73.976218
120,86 ST,456,IRT,40.779492,-73.955589
122,86 ST,BC,IND,40.785868,-73.96891600000001
123,96 ST,123,IRT,40.793919,-73.972323
124,96 ST,BC,IND,40.791646,-73.964699
125,96 ST,6,IRT,40.785672,-73.95107
126,ASTOR PLACE,6,IRT,40.730053999999996,-73.99107
127,B'WAY-LAFAYETTE,BDFQ6,IND,40.725297,-73.996204
128,BLEECKER ST,6DF,IRT,40.725915,-73.994659
129,BOWERY,JZ,BMT,40.720279999999995,-73.993915
130,BOWLING GREEN,45,IRT,40.704817,-74.014065
131,BROAD ST,JZ,BMT,40.706476,-74.01105600000001
132,BROOKLYN BRIDGE,456JZ,IRT,40.711824,-74.005057
133,CANAL ST,ACE,IND,40.720824,-74.005229
134,CANAL ST,1,IRT,40.722854,-74.006277
